id,name
271,"Kosara, R."
272,"Miksch, S."
273,"Hauser, H."
274,"Eagan, J."
275,"Harrold, M.J."
276,"Jones, J.A."
277,"van Ham, F."
278,"Weber, M."
279,"Alexa, M."
280,"Muller, W."
281,"Morrison, A."
282,"Ross, G."
283,Quang Vinh Nguyen
284,Mao Lin Huang
285,"Koren, Y."
286,"Carmel, L."
287,"Harel, D."
288,"Ledermann, F."
289,"Doleisch, H."
290,Min Chen
291,Ying Feng
292,"Amenta, N."
293,"Klingner, J."
294,Mei Chuah
295,"North, S.C."
296,"Panse, C."
297,"Schneidewind, J."
298,"Schulman, R."
299,"Hix, D."
300,"Fekete, J."
301,"Plaisant, C."
302,Jing Yang
303,"Conklin, N."
304,"Prabhakar, S."
305,"North, C."
306,"Tang, D."
307,"Matkovic, K."
308,"Sainitzer, R."
309,"Groller, M.E."
310,"Grosjean, J."
311,"Bingham, G.P."
312,"Forser, C."
313,"Brandes, U."
314,"Corman, S.R."
315,"Saini, V."
316,"Thiagarajan, P.R."
317,"Gao, G.R."
318,"Summers, K.L."
319,"Goldsmith, T.E."
320,"Kubica, S."
321,"Caudell, T.P."
322,Spell R.
323,Brady R.
324,Dietrich F.
325,"Skog, T."
326,"Ljungblad, S."
327,"Elmqvist, N."
328,"Tsigas, P."
329,Hong Chen
330,"Christel, M.G."
331,"Hauptmann, A.G."
332,"Wactlar, H.D."
333,"Kim, S."
334,"Hagh-Shenas, H."
335,"Interrante, V."
336,"Craig, P."
337,"Kennedy, J."
338,"Glaser, D. C."
339,"Tan, R."
340,"Canny, J."
341,"Do, Ellen Yi-Luen"
342,"Adams, D."
343,"Wong, N."
344,"Carpendale, S."
345,"Greenberg, S."
346,Qing Li
347,"MacEachren, A."
348,"Xiping, D."
349,"Hardisty, F."
350,Diansheng Guo
351,"Lengerich, G."
352,"Csallner, C."
353,"Handte, M."
354,"Lehmann, O."
355,"Trutschl, M."
356,"Grinstein, G."
357,"Cvek, U."
358,Wei Peng
359,"Rosario, G.E."
360,"Brown, D.C."
361,"Jankun-Kelly, T.J."
362,Kwan-Liu Ma
363,"Aubert, D."
364,Chiricota Y.
365,Jourdan F.
366,"Melançon, G."
367,"Nuij, W.A.A."
368,"Kerr, B."
369,Koren Y.
370,Carmel L.
371,"Girardin, L."
372,"Chen, C."
373,"Morris, S."
374,"Ghoniem, M."
375,"Castagliola, P."
376,"Nocke, T."
377,"Seo, J."
378,"Saraiya, P."
379,"Duca, K."
380,"Viegas, F.B."
381,"Perry, E."
382,"Howe, E."
383,"Donath, J."
384,"Amar, R."
385,"Weaver, C."
386,"Peng, W."
387,"Frishman, Y."
388,"Granitzer, M."
389,"Kienreich, W."
390,"Sabol, V."
391,"Klieber, W."
392,"McGuffin, M.J."
393,"Davison, G."
394,"Balakrishnan, R."
395,"Voinea, L."
396,"Telea, A."
397,"Kapler, T."
398,"Chiricota, Y."
399,"Jourdan, F."
400,"Kobourov, S.G."
401,"Wampler, K."
402,"Gossett, N."
403,Baoquan Chen
404,"Heilmann, R."
405,"Sips, M."
406,"Tory, M."
407,"Moller, T."
408,"Williams, M."
409,"Moere, A.V."
410,"Gansner, E."
411,"North, S."
412,"Artero, A.O."
413,"de Oliveira, M.C.F."
414,"Levkowitz, H."
415,Anilkumar Patro
416,Huang Shiping
417,Nishant Mehta
418,"Zotti, G."
419,"Allendoerfer, K."
420,"Aluker, S."
421,"Panjwani, G."
422,"Proctor, J."
423,"Sturtz, D."
424,"Vukovic, M."
425,Kang Shi
426,"Irani, P."
427,"Li, B."
428,"Fanea, E."
429,"Isenberg, T."
430,Zhen Wen
431,"Aggarwal, V."
432,"Dwyer, T."
433,"Mackey, P."
434,Shengdong Zhao
435,"Chignell, M.H."
436,Doantam Phan
437,Ling Xiao
438,"Yeh, R."
439,"Wilkinson, L."
440,"Anand, A."
441,"Grossman, R."
442,"Fleischer, D."
443,"Lerner, J."
444,"Schreck, T."
445,"Riehmann, P."
446,"Hanfler, M."
447,"Froehlich, B."
448,"Chlan, E.B."
449,"Rheingans, P."
450,"Bendix, F."
451,"Slack, J."
452,"Hildebrand, K."
453,"Johansson, J."
454,"Ljung, P."
455,"Jern, M."
456,"Cooper, M."
457,"Forsell, C."
458,"Seipel, S."
459,Poonam Shanbhag
460,"desJardins, M."
461,"Lommerse, G."
462,"Nossin, F."
463,"Hetzler, E.G."
464,"Crow, V.L."
465,"Payne, D.A."
466,"Turner, A.E."
467,"Saito, T."
468,"Miyamura, H.N."
469,"Yamamoto, M."
470,"Saito, H."
471,"Hoshiya, Y."
472,"Kaseda, T."
473,"Livnat, Y."
474,Shaun Moon
475,"Foresti, S."
476,"Lee, P."
477,"Heer, J."
478,"Boyd, D."
479,"Balzer, M."
480,"Deussen, O."
481,Neeraj Krishnan
482,"Perer, A."
483,"Bottger, J."
484,"Been, K."
485,"Daiches, E."
486,"Yap, C."
487,"Ellis, G."
488,"Dix, A."
489,"Czerwinski, M."
490,"Meyers, B.Robbins."
491,"Tan, D.S."
492,"Holten, D."
493,"Buring, T."
494,"Gerken, J."
495,"Reiterer, H."
496,"Henry, N."
497,"Cui, Q."
498,"Yang, J."
499,"Agrawala, M."
500,"Aris, A."
501,"Archambault, D."
502,"Auber, D."
503,"Mehler, A."
504,"Bao, Y."
505,"Li, X."
506,"Wang, Y."
507,"Skiena, S."
508,"Yost, B."
509,"Cortese, P.F."
510,"Di Battista, G."
511,"Moneta, A."
512,"Patrignani, M."
513,"Pizzonia, M."
514,"Pretorius, A.J."
515,"Heine, C."
516,"Scheuermann, G."
517,"Flamm, C."
518,"Hofacker, I.L."
519,"Stadler, P.F."
520,"Vliegen, R."
521,"van der Linden, E.-J."
522,"Dorling, D."
523,"Barford, A."
524,"Newman, M."
525,Bongshin Lee
526,"Robertson, G.G."
527,"Blanch, R."
528,"Lecolinet, E."
529,"Pousman, Z."
530,"Mateas, M."
531,"Graham, M."
532,"Dykes, J."
533,"Brunsdon, C."
534,"Isenberg, P."
535,"Wood, J."
536,"Slingsby, A."
537,"Clarke, K."
538,Remco Chang
539,"Wessel, G."
540,"Sauda, E."
541,"Ribarsky, W."
542,"Kriss, J."
543,"McKeon, M."
544,"Lam, H."
545,"Kincaid, R."
546,"Willett, W."
547,Yi Mao
548,"Dillon, J.V."
549,"Lebanon, G."
550,"Sprague, D.W."
551,Fuqu Wu
552,Wing Yan So
553,Ji Soo Yi
554,Youn ah Kang
555,"Jacko, J.A."
556,"Collins, C."
557,"Mansmann, F."
558,"Rexroad, B."
559,"Sheleheda, D."
560,"Cammarano, M."
561,Xin Dong
562,Bryan Chan
563,"Talbot, J."
564,"Halevy, A."
565,"Kadaba, N.R."
566,"Irani, P.P."
567,"Leboe, J."
568,Ying Tu
569,Han-Wei Shen
570,"Ivanov, Y.A."
571,"Wren, C.R."
572,"Sorokin, A."
573,"Kaur, I."
574,Sunghee Kim
575,"Healey, C."
576,"Barsky, A."
577,"Gardy, J."
578,Zhicheng Liu
579,"Nersessian, N.J."
580,"Fernandez, R."
581,"Hinrichs, U."
582,"Schmidt, H."
583,"Marriott, K."
584,"Schreiber, F."
585,"Stuckey, P."
586,"Woodward, M."
587,"Wybrow, M."
588,Weiwei Cui
589,Hong Zhou
590,Huamin Qu
591,Xiaoming Li
592,"Paulovich, F.V."
593,"Minghim, R."
594,"Henr, N."
595,"Bezerianos, A."
596,"Freiler, W."
597,"Butkiewicz, T."
598,Wenwen Dou
599,"Wartell, Z."
600,"Chang, R."
601,Yuntao Jia
602,"Hoberock, J."
603,"Garland, M."
604,"Hart, J.C."
605,"Luboschik, M."
606,"Cords, H."
607,"Rogowitz, B."
608,"Muelder, C."
609,"Dragicevic, P."
610,"Byron, L."
611,"Ziemkiewicz, C."
612,"Dork, M."
613,"Williamson, C."
614,"Chan, B."
615,"Wu, L."
616,"Kidwell, P."
617,"Cleveland, W.S."
618,"Romero, M."
619,"Summet, J."
620,"Abowd, G."
621,"Draper, G."
622,"Riesenfeld, R.F."
623,"Quinn, K.I."
624,"Piringer, H."
625,"Tominski, C."
626,"Muigg, P."
627,"Berger, W."
628,"Nielsen, C.B."
629,"Jackman, S.D."
630,"Birol, I."
631,"Jones, S.J.M."
632,"Vrotsou, K."
633,"Penn, G."
634,"Ogawa, M."
635,"Swindells, C."
636,"Dreezer, R."
637,Jin Chen
638,"Peuquet, D.J."
639,"Strobelt, H."
640,"Oelke, D."
641,"Rohrdantz, C."
642,"Stoffel, A."
643,Yanhua Chen
644,Lijun Wang
645,Ming Dong
646,Jing Hua
647,"Hurter, C."
648,"Tissoires, B."
649,"Conversy, S."
650,Bohyoung Kim
651,"Knoblach, S."
652,Jinwook Seo
653,"Jurisica, I."
654,"Johansson, S."
655,"Tobiasz, M."
656,"Meyer, M."
657,"Pfister, H."
658,"Feinberg, J."
659,"Bostock, M."
660,"Clarkson, E."
661,"Desai, K."
662,"Foley, J.D."
663,Xiaoru Yuan
664,Peihong Guo
665,He Xiao
666,"Sullivan, T."
667,"Blaas, J."
668,"Botha, C.P."
669,"Grundy, E."
670,"Jones, M."
671,"Laramee, R.S."
672,"Post, F.H."
673,"Bak, P."
674,"Janetzko, H."
675,"Douma, M."
676,"Ligierko, G."
677,"Ancuta, O."
678,"Gritsai, P."
679,"Liu, S."
680,"Wang, T.D."
681,"Spring, N."
682,"Roseman, D."
683,"Marchand, G."
684,"Mukherjee, V."
685,"Smith, M."
686,"Bresciani, S."
687,"Eppler, M.J."
688,"McDonnel, B."
689,"Gygi, F."
690,"Crampes, M."
691,"de Oliveira-Kumar, J."
692,"Ranwez, S."
693,"Villerd, J."
694,Jian Zhang
695,Jiexun Li
696,"Forbes, A.G."
697,"Hollerer, T."
698,"Legrady, G."
699,"Gruen, D."
700,"Lin, S."
701,"Lex, A."
702,"Streit, M."
703,"Partl, C."
704,"Kashofer, K."
705,"Schmalstieg, D."
706,Hoi Ying Tsang
707,"Borgo, R."
708,"Proctor, K."
709,"Chen, M."
710,"Janicke, H."
711,"Murray, T."
712,"Thornton, I.M."
713,Nan Cao
714,Jimeng Sun
715,Yu-Ru Lin
716,"Gotz, D."
717,Shixia Liu
718,Juhee Bae
719,"Watson, B."
720,"Wickham, H."
721,"Cook, D."
722,"Hofmann, H."
723,"Buja, Andreas"
724,"Javed, W."
725,"O'Brien, T.M."
726,"Ritz, A.M."
727,"Raphael, B.J."
