author_id,paper_id
1,1
2,1
3,2
4,2
5,2
6,3
7,3
8,3
9,3
10,3
11,4
12,4
13,5
14,5
15,6
16,6
17,6
18,7
19,7
20,8
21,8
22,8
23,8
24,9
25,9
26,10
27,10
28,11
29,11
30,12
31,12
32,12
33,12
34,13
35,13
36,14
37,15
38,15
39,15
40,16
41,16
42,16
43,16
44,16
45,17
46,17
47,17
48,17
49,18
46,18
50,18
48,18
51,19
52,19
53,20
54,20
55,20
56,20
57,20
56,21
58,21
55,21
59,22
60,22
61,22
62,22
63,22
64,23
61,23
60,23
65,23
66,24
67,24
68,24
69,24
70,25
71,25
72,25
73,25
74,26
75,26
76,26
77,26
78,27
79,27
80,28
81,28
82,29
83,29
84,29
85,30
86,30
87,30
88,30
89,31
90,31
4,32
91,32
3,32
92,33
93,33
94,34
95,34
96,34
97,34
98,34
99,35
100,35
101,35
102,35
88,35
87,35
103,35
104,35
105,35
106,35
107,35
85,36
100,36
87,36
103,36
88,36
86,36
108,36
109,36
110,36
111,36
112,37
113,37
114,37
115,38
116,38
117,38
118,39
119,39
120,39
121,39
122,39
123,39
124,39
125,39
126,39
127,39
128,39
129,40
130,40
131,40
132,40
133,41
134,41
135,42
136,42
137,42
138,43
139,44
140,44
141,44
142,45
143,46
144,46
145,47
146,48
147,48
148,48
149,49
150,49
151,50
152,50
153,50
154,51
155,52
156,52
157,53
158,54
159,54
160,54
161,55
162,55
163,55
164,56
165,56
166,56
167,56
53,57
168,57
169,57
170,57
58,57
156,58
171,58
172,58
173,58
174,59
175,59
176,59
177,60
178,60
179,60
180,60
181,60
182,60
183,61
184,61
185,61
186,61
187,61
86,62
85,62
188,62
103,62
189,62
190,62
191,62
87,62
88,62
192,62
90,63
193,63
89,63
194,64
195,64
15,65
196,65
197,65
198,65
199,65
200,65
201,65
202,66
203,66
204,66
205,66
206,66
207,67
208,68
13,68
14,69
209,69
210,69
211,69
89,70
90,70
212,71
213,71
214,71
215,72
216,72
65,72
60,72
217,73
218,73
219,73
220,73
221,74
222,74
223,75
224,76
13,76
225,76
226,76
227,76
228,76
229,77
230,77
231,78
232,78
233,78
234,78
235,78
236,79
237,79
231,79
238,79
239,79
240,80
241,80
242,80
243,80
244,80
245,81
246,81
247,81
248,82
249,82
250,82
251,83
252,83
253,83
254,83
255,83
256,84
257,84
258,84
259,85
260,85
261,85
262,86
263,86
264,86
265,87
266,87
267,88
268,89
269,89
270,89
271,89
272,90
273,90
274,90
275,91
276,91
277,91
278,92
56,92
279,93
53,93
169,93
280,93
281,94
282,94
283,94
284,94
285,95
30,96
32,96
286,96
287,96
288,96
289,96
290,96
291,96
292,96
293,97
294,97
295,97
296,97
297,97
298,97
299,97
300,98
301,98
302,98
303,99
304,99
305,99
306,99
307,99
308,99
309,100
184,100
187,100
310,101
311,101
286,101
312,101
150,102
313,102
149,102
314,103
315,103
316,104
48,104
317,104
318,104
319,105
320,105
37,105
321,105
322,105
323,105
324,106
325,106
48,106
326,107
115,108
117,108
327,109
328,109
329,109
330,109
331,109
332,109
333,109
334,109
138,110
335,110
336,111
337,111
327,111
338,112
339,112
340,112
341,112
342,112
343,113
344,113
345,113
346,113
283,114
94,114
347,114
348,114
349,114
350,114
351,115
352,115
262,115
353,115
354,116
348,116
355,116
356,116
357,116
53,116
358,117
359,117
360,118
361,118
327,118
362,119
285,119
363,120
364,120
365,120
366,120
367,121
368,121
369,121
370,121
371,122
192,123
87,123
372,124
373,125
374,125
375,125
376,125
377,126
378,126
379,126
380,126
381,126
382,126
383,126
384,126
385,126
386,127
387,127
388,127
389,127
390,128
261,128
192,129
391,129
392,129
100,129
393,130
394,130
395,130
396,131
397,131
398,131
399,131
400,132
401,132
402,132
183,133
403,133
404,133
187,133
90,134
405,134
406,135
90,135
407,136
4,136
408,137
409,137
410,137
411,138
412,138
413,139
414,139
415,140
416,140
417,140
418,140
419,140
420,141
421,141
422,141
423,142
424,142
187,142
424,143
425,143
426,143
427,143
428,143
429,143
90,144
430,144
431,144
432,144
224,145
13,145
433,145
89,146
90,146
285,147
434,147
263,148
262,148
351,148
263,149
233,149
435,149
222,149
436,150
437,151
438,151
87,151
439,152
440,152
441,152
442,153
443,153
444,154
445,154
446,154
447,154
448,154
449,154
450,154
451,154
145,155
452,155
113,156
453,156
454,156
455,157
456,157
457,158
230,158
347,159
283,159
425,159
458,159
459,160
460,160
461,160
462,160
463,160
464,160
465,160
466,160
467,161
468,161
469,162
212,162
214,162
470,163
471,163
472,164
473,164
474,164
283,165
475,165
476,165
477,165
478,166
479,167
480,167
481,168
482,168
448,169
450,169
444,169
216,170
483,170
484,171
485,171
486,171
487,171
488,171
489,171
490,171
371,172
491,172
492,172
493,172
164,173
494,173
321,174
495,174
496,174
497,174
498,174
354,175
499,175
356,175
