author_id,paper_id
1,1
2,1
3,2
4,2
5,2
6,3
7,3
8,3
9,4
10,4
11,4
12,4
13,4
14,4
15,5
16,6
17,6
18,6
19,6
20,7
21,8
22,8
23,9
24,9
25,10
26,11
27,11
28,11
29,11
30,12
31,12
32,13
33,13
34,13
35,13
36,14
37,14
38,15
39,15
40,15
41,16
42,16
43,16
44,16
45,17
46,17
47,17
48,17
49,17
50,17
51,17
52,18
53,18
54,19
55,19
56,20
57,20
58,21
59,21
60,21
61,22
62,22
32,23
33,23
31,24
30,24
63,25
64,26
65,26
33,27
66,27
67,27
68,27
69,27
70,27
71,27
72,27
73,28
74,28
75,29
76,29
77,29
78,29
79,30
80,30
81,30
82,31
83,31
84,31
85,31
86,32
87,32
88,33
89,34
33,34
35,34
90,35
91,35
92,35
93,36
94,36
95,36
96,36
75,37
97,38
98,38
32,39
2,39
99,40
100,41
64,42
65,42
101,43
102,43
60,43
103,43
104,44
105,44
106,45
107,45
108,45
109,46
110,47
111,47
112,47
113,47
63,48
82,49
114,49
115,50
116,51
117,51
118,51
32,52
119,53
120,53
121,53
122,53
107,54
106,54
123,54
124,54
125,55
126,56
127,56
128,56
129,56
130,57
118,57
131,58
132,58
133,58
134,58
135,58
136,59
137,59
138,59
64,60
139,61
140,61
141,61
142,62
143,62
109,63
144,64
145,64
146,65
147,65
148,65
149,66
150,66
151,66
152,67
153,67
154,67
155,67
156,67
157,68
158,69
159,69
75,70
160,70
161,70
158,71
162,71
163,72
164,72
165,73
166,73
167,73
168,74
169,74
89,75
170,75
171,75
33,75
172,76
173,76
174,76
175,76
176,77
177,77
178,77
179,78
104,78
100,79
180,79
181,80
182,81
66,81
183,81
184,82
185,82
186,82
187,82
188,83
127,83
129,83
189,84
190,84
191,84
179,85
192,86
119,86
193,86
194,86
195,86
196,87
197,87
198,87
199,87
200,87
201,88
202,88
203,88
204,89
205,89
206,90
207,91
208,91
209,91
210,91
211,92
212,92
213,93
214,93
215,94
216,94
217,95
218,95
219,96
220,96
221,96
222,96
223,96
224,96
225,97
226,97
184,98
186,98
149,99
151,99
227,100
126,100
228,100
229,101
230,101
231,102
232,102
188,103
233,103
234,103
235,103
129,103
236,104
237,104
238,105
239,105
240,106
241,107
242,107
243,107
244,107
245,108
162,108
158,108
246,109
119,109
247,109
248,110
249,110
238,111
239,111
228,112
250,112
251,112
252,113
253,113
254,113
255,114
256,114
257,115
258,115
64,116
231,117
259,117
232,117
260,118
261,118
262,118
263,118
264,118
265,118
227,119
250,119
266,119
235,119
267,119
92,120
268,120
269,121
152,121
270,121
154,121
153,121
271,122
272,122
273,122
274,123
275,123
276,123
204,123
277,124
162,124
158,124
278,125
279,125
280,125
281,126
282,126
94,126
283,127
284,127
285,128
286,128
287,128
273,129
288,129
289,129
268,130
277,131
158,131
54,132
290,132
291,132
292,133
293,133
294,134
138,135
295,135
296,135
297,135
228,136
298,136
299,136
300,137
301,137
302,138
177,138
178,138
303,139
304,139
305,139
184,140
306,140
186,140
307,141
273,141
308,141
309,141
301,142
310,142
163,142
237,143
311,143
312,143
64,144
2,144
313,145
314,145
305,146
303,146
315,146
316,147
317,147
211,148
105,148
268,149
242,149
282,150
94,150
318,151
319,151
320,151
321,151
322,152
323,152
324,152
325,153
326,153
150,153
327,154
328,154
329,155
89,156
330,156
331,156
332,156
333,157
334,157
335,157
336,158
337,158
306,159
184,159
185,159
338,160
339,160
340,160
341,160
188,161
234,161
342,161
233,161
129,161
343,162
344,162
345,162
346,163
305,163
347,164
348,164
349,164
350,164
351,164
352,165
353,165
354,165
204,165
281,166
94,166
355,167
356,167
357,167
302,168
358,168
177,168
178,168
359,169
178,169
360,169
177,169
361,170
362,170
363,171
364,171
365,171
366,171
158,172
367,172
368,173
277,174
369,175
370,175
93,176
371,176
372,177
373,177
374,178
300,178
375,178
189,179
376,179
191,179
377,180
92,180
378,181
305,181
379,181
380,182
381,182
382,182
383,182
384,183
204,183
385,184
386,185
177,185
178,185
387,186
112,186
388,187
389,187
390,187
20,187
391,187
392,188
393,188
394,188
395,189
396,189
158,189
397,190
25,190
277,191
158,191
231,192
277,192
398,193
399,193
203,193
400,194
401,194
402,195
403,195
404,196
138,196
296,196
405,196
406,197
407,197
408,198
75,198
300,199
409,200
410,201
285,201
411,201
412,202
413,202
414,202
240,203
302,204
415,204
416,204
417,204
177,204
178,204
268,205
418,206
309,206
419,207
420,207
421,207
422,207
423,207
424,207
372,207
425,208
426,208
427,208
428,209
344,209
429,209
430,210
54,210
431,210
268,211
432,212
285,212
188,213
433,213
266,213
274,213
234,213
129,213
434,214
392,214
435,214
436,215
437,215
438,215
186,215
439,216
440,216
441,216
313,217
442,217
443,217
152,218
153,218
138,218
444,218
445,219
446,219
447,219
392,220
394,220
384,221
274,221
204,221
